Магазин;ГУИДМагазина;СкидкаНаценка;Номенклатура;ГУИДНоменклатуры;ХарактеристикаНоменклатуры;ГУИДХарактеристикиНоменклатуры;ЗначениеСкидкиНаценки;ДатаОкончания;ДатаНачала;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Конструктор Супер Герои Человек паук против Зелёного Гоблина LEGO;112b00c7-31f9-11e6-ac1b-0050569740d4;;;40;16.04.17;22.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Платье Coccodrillo;3fa09544-f584-11e5-b84b-005056977cd8;р.92, 52, 1-3;3fa09546-f584-11e5-b84b-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Coccodrillo;1891e63e-d96c-11e6-826a-0050569740d4;р.122, 60, 3-6;1891e640-d96c-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер (кор.рукав) Coccodrillo;5ccc7089-d972-11e6-826a-0050569740d4;р.134, 64, 7-12;5ccc708d-d972-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Костюм спорт.(брюки,жакет) Lemon;8c86eeaf-cbd9-11e4-96e3-0050569740d4;р.164, 80, красно-синий, 12+;8c86eeb5-cbd9-11e4-96e3-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер Coccodrillo;7346de33-4747-11e6-917c-005056977cd8;р.128, 64, 7-12;7346de36-4747-11e6-917c-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер (кор.рукав) Coccodrillo;6a91de85-d972-11e6-8162-005056977cd8;р.110, 56, 3-6;6a91de89-d972-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Игрушка N-Rebelle Чарм Арбалет Фортуна HASBRO;f247577f-6ac6-11e6-ac1b-0050569740d4;;;20;08.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Ползунки "Алеся" АГУ;e20c42f4-03ab-11e1-ae23-005056b6000c;р.68, 44, 0-1;e20c42f6-03ab-11e1-ae23-005056b6000c;40;05.03.17;21.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Боди (кор.рукав) Sofija;f21b11de-2d49-11e6-a304-005056977ec5;р.56, 36, 0-1;f21b11e0-2d49-11e6-a304-005056977ec5;40;05.03.17;21.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Легинсы Coccodrillo;83856cea-d095-11e5-a62a-005056977cd8;р.68, 44, 0-1;83856ced-d095-11e5-a62a-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Пустышка Physio Comfort силиконовая "Морская" CHICCO 2шт;7c606806-ecd5-11e5-b84b-005056977cd8;;;25;28.02.17;01.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Сок 0,2 яблочный из зеленых яблок Сады Придонья 0,2л;5c03ac43-173a-11e0-9abd-005056882284;;;100;05.03.17;04.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер (кор.рукав) Coccodrillo;a690d5cb-dbb3-11e6-8162-005056977cd8;р.134, 64, 7-12;a690d5cf-dbb3-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Носки TIP-TOP Conte;4d2735aa-675f-11e0-abcb-0015171f7e18;р. 12;4f0ae75b-77af-11e0-b308-0015171f7e19;15;28.02.17;15.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Coccodrillo;c35f7f57-d897-11e6-8162-005056977cd8;р.80, 48, 1-3;c35f7f59-d897-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Игрушка Боевая машина Мстителей HASBRO;f2475768-6ac6-11e6-ac1b-0050569740d4;;;20;08.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Игровой набор из 2 фигурок Мстителей HASBRO;a2e06f8e-313a-11e6-a304-005056977ec5;;;20;08.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер Coccodrillo;1eec0d6d-48c8-11e6-ac1b-0050569740d4;р.152, 76, 12+;1eec0d74-48c8-11e6-ac1b-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Lemon;f6a42f63-7992-11e6-bc75-0050569740d4;р.164, 84, 63, серый, 12+;f6a42f6b-7992-11e6-bc75-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Игрушка мягкая "Кролик коричневый, сидячий" Gulliver;1ed68753-43d3-11e4-b3a2-0050569740d4;;;15;12.03.17;06.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Куртка Coccodrillo;72a47400-d995-11e6-8162-005056977cd8;р.134, 64, 7-12;72a47404-d995-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Хайнц Пудинг бананчик, яблочко в сливках 200г*15;4ba838bd-060f-11e2-afba-005056b60009;;;15;17.03.17;01.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Хайнц Вермишелька звездочки 340г*12;4b375643-b167-11e2-9b13-005056977cd8;;;15;17.03.17;01.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;П/ботинки Lemon;a1891a55-652a-11e6-a7d2-005056977cd8;7-12, р.35, розовый/серый;a1891a5f-652a-11e6-a7d2-005056977cd8;40;05.03.17;27.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Бутылочка Well-Being Boy, с латексной соской CHICCO 330мл;b11bf492-1746-11e6-8729-005056977cd8;;;25;28.02.17;01.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Куртка Coccodrillo;96144ef0-dbcc-11e6-826a-0050569740d4;р.74, 44, 0-1;96144ef4-dbcc-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Юбка Coccodrillo;f7937da1-dbe8-11e6-826a-0050569740d4;р.80, 48, 1-3;f7937da3-dbe8-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Набор Бутылочка Well-Being Boy, 4 мес+330мл., с латексной соской + Соска Well-Being, 2мес+, латексна;bb7b44d0-7fd2-11e6-bc75-0050569740d4;;;25;28.02.17;01.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер Coccodrillo;829621b2-48d6-11e6-917c-005056977cd8;р.68, 44, 0-1;829621b5-48d6-11e6-917c-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Новая цена;Джемпер Wooli;9314bc50-6aa4-11e6-8a3f-005056977cd8;р.158, 80, серый, 12+;9314bc56-6aa4-11e6-8a3f-005056977cd8;22;28.02.17;05.12.16;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Жакет Coccodrillo;6da95e8f-7bc0-11e5-91ba-005056977cd8;р.80-, 48, 1-3;6da95e91-7bc0-11e5-91ba-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Каша Nestle молочная гречка с курагой с бифидобакт., 250г;8f84a4eb-173a-11e0-9abd-005056882284;;;100;05.03.17;04.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Жакет Coccodrillo;401f1b37-4768-11e6-917c-005056977cd8;р.86, 48, 1-3;401f1b3a-4768-11e6-917c-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Набор Губка-рукавичка д/купания ребенка+мыло с глицерином, 100 гр. Baby Moments CHICCO;9ccd5e4b-797c-11e6-96f9-005056977cd8;;;25;28.02.17;01.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер Coccodrillo;8b000800-d959-11e6-826a-0050569740d4;р.116, 60, 3-6;8b000804-d959-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер Coccodrillo;72a47409-d995-11e6-8162-005056977cd8;р.122, 60, 3-6;72a4740b-d995-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Обувь повседневная: полуботинки RenBut;462c1bf1-51c5-11e3-a7f8-0050569740d4;7-12, р.34, jeans ciemny;a54c21ae-8494-11e6-bc75-0050569740d4;40;05.03.17;27.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Шампунь Baby Moments для волос и тела,"без слёз", с овсом CHICCO 500мл;5c9d04d1-d614-11e5-a62a-005056977cd8;;;25;28.02.17;01.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Lemon;f6a42f76-7992-11e6-bc75-0050569740d4;р.164, 84, 63, синий, 12+;217d088f-799f-11e6-bc75-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Качели детские SILHOUETTE MY FRIEND GRACO;d8c84fee-fe7c-11e2-9f55-005056977cd8;;;15;12.03.17;08.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Шапка Coccodrillo;da4afdb3-0617-11e6-a714-005056977cd8;р.52, 3-6;da4afdb6-0617-11e6-a714-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Шорты Coccodrillo;0f2686db-a236-11e4-937c-005056977cd8;р.80-, 48;0f2686dd-a236-11e4-937c-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Гель д/полости рта антибактериальный, с ромашкой CHICCO 30мл;949b9129-ef54-11e5-b84b-005056977cd8;;;25;28.02.17;01.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Комплект (комбинезон,ползунки,кофточка,шапка) Coccodrillo 4пр;d74ca3b2-78bc-11e5-aa91-005056977ec5;р.56, 36, 0-1;d74ca3b4-78bc-11e5-aa91-005056977ec5;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Трусы Key;774b713e-d2c0-11e4-b78e-005056977ec5;р.140,146, 68-72;774b7140-d2c0-11e4-b78e-005056977ec5;30;05.03.17;25.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Жакет Coccodrillo;f8f7fbf2-d964-11e6-826a-0050569740d4;р.86, 48, 1-3;f8f7fbf5-d964-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Простынь Мечта бежевый Баю-Бай 120х60х10;efae50f3-dd43-11e6-8162-005056977cd8;;;20;28.02.17;01.02.17;
